indice,CIE DL,CIE Da,CIE Db,CIE DC,CIE DH,y,XGBoost,KNeighbors,RedesNeuronales,SVC,GaussianNB,RandomF,CantCoincidencia
1156,0.1403582428568108,0.0542881833557736,0.2783848872470781,-0.4552313783513812,0.0201108130641495,0,0,0,0,0,0,0,6
183,-0.4324532898644894,0.1804320422855005,0.0258912923573377,-0.1333781569885113,0.5044120256293831,0,0,0,0,0,0,0,6
334,-0.0543976782684312,0.2435039717503639,-0.5385061550432583,0.3983793391762302,0.4622988767106671,0,0,0,0,0,0,0,6
879,2.6149040642128285,-1.4173901708243726,0.5308784821368185,1.1960155834233424,-0.569473271797874,0,0,1,0,0,0,0,5
312,-0.7188590562251396,0.0542881833557736,0.2486797584365205,-0.3572760501105078,0.3991291533325932,0,0,0,0,0,0,0,6
181,-0.3178909833202294,0.1804320422855005,0.1001541143837319,-0.1893526302690104,0.5254686000887411,0,0,0,0,0,0,0,6
362,-0.3178909833202294,0.1383840893089248,0.0407438567626166,-0.1473717753086361,0.4833554511700251,0,0,0,0,0,0,0,6
299,-0.0658539089228572,0.2014560187737882,0.189269500815405,-0.2733143401897591,0.5675817490074571,0,0,0,0,0,0,0,6
902,0.1059895508935328,0.012240230379198,0.8873400278635108,0.5523091406976027,-1.7065282926032048,0,0,0,0,0,0,0,6
970,-0.1116788315405613,0.3486238541918029,-0.1374869161007295,-0.1333781569885113,-0.5905298462572319,0,0,0,0,0,0,0,6
776,1.0797691565197434,0.327599877703515,-0.8949677007699506,0.7062389422189752,-0.6326429951759479,0,0,0,0,0,0,0,6
38,0.5642387770705731,-0.1979995345036799,-0.3157176889640756,0.1464942094139842,0.0622239619828655,0,0,0,0,0,1,0,5
898,0.1059895508935328,-0.1559515815271043,-1.4742177125758256,-0.4272441417111317,1.3256184295443445,0,0,0,0,0,0,0,6
63,-2.0019568895208524,0.3486238541918029,-0.2711599957482391,0.1744814460542337,0.609694897926173,0,0,0,0,0,0,0,6
86,-1.0396335145490678,0.3486238541918029,-0.5088010262327006,0.3983793391762302,0.5675817490074571,0,0,0,0,0,0,0,6
250,-0.3980845979012115,0.3065759012152272,-0.1077817872901718,0.0065580262127364,0.609694897926173,0,0,0,0,0,0,0,6
582,-0.3980845979012115,0.2224799952620761,0.6794041261896071,-0.7490973630740015,0.609694897926173,1,0,0,0,0,0,0,0
823,-0.1918724461215433,-0.1979995345036799,1.4962951684799433,0.972117690301346,-2.3171689519245864,0,0,0,0,0,0,0,6
714,1.7442305344764517,-0.303119416945119,0.189269500815405,0.6502644689384761,-0.0009457613952084,0,1,1,1,1,1,1,0
950,1.1026816178285954,-0.7235989467108751,1.9418721006383088,1.4898815681459627,-2.59090441989624,0,0,0,0,0,0,0,6
4,-1.0510897452034935,-0.3451673699216945,-0.3454228177746333,0.1744814460542337,-0.0851720592326403,0,0,0,0,0,0,0,6
908,-0.6730341336074356,1.5680144905124953,3.189487510681732,0.9161432170208468,-5.2440328017753455,0,0,0,0,0,0,0,6
967,0.1403582428568108,0.5588636190746809,-1.2514292464966428,-0.7490973630740015,0.7149777702229628,0,0,0,0,0,0,0,6
1122,3.668877284420021,5.247210375962861,6.976891434027837,7.57710553740024,-3.770072589620287,0,0,0,1,0,0,0,5
512,-0.6959465949162875,-0.1559515815271043,-0.4048330753957487,0.2444495376548576,0.1043371109015814,0,0,0,0,0,0,0,6
361,-0.7417715175339916,0.1594080657972126,0.0258912923573377,-0.1333781569885113,0.4833554511700251,0,0,0,0,0,0,0,6
759,0.426764009217461,-0.513359181827997,-0.2860125601535179,0.2724367742951071,0.1043371109015814,0,1,1,1,1,1,1,0
437,-0.0773101395772832,-0.2400474874802556,-0.3899805109904699,0.216462301014608,0.0201108130641495,0,0,0,0,0,0,0,6
202,-0.2262411380848213,0.1383840893089248,0.1447118075995685,-0.2453271035495095,0.4833554511700251,0,0,0,0,0,0,0,6
708,1.4692809987702276,0.3696478306800907,0.0110387279520589,0.6922453238988504,-0.2746812293668622,0,1,1,1,1,1,1,0
774,1.0797691565197434,-0.303119416945119,-0.0929292228848929,0.3843857208561054,-0.0220023358545664,0,1,1,1,1,1,1,0
981,0.1059895508935328,-0.7235989467108751,-0.850410007554114,-0.2313334852293848,-0.6326429951759479,0,0,0,0,0,0,0,6
940,0.7017135449236852,-2.1952773008910214,0.4863207889209821,1.6298177513472107,-0.1483417826107143,0,0,0,0,0,0,0,6
1155,-0.6501216722985835,0.5798875955629688,0.5457310465420974,-0.8050718363545005,0.3991291533325932,0,0,0,0,0,0,0,6
798,2.053548762145954,-0.1979995345036799,0.4120579668945878,0.8741623620604726,-0.0430589103139243,0,1,1,1,1,1,1,0
663,0.8391883127767974,0.2645279482386517,0.7091092550001646,-0.7770845997142511,0.651808046844889,1,0,0,0,0,0,0,0
614,0.335114163982053,-0.0928796520622409,-0.7018843635013255,0.5243219040573531,0.1253936853609394,1,0,0,0,0,1,0,1
212,-0.4897344431366194,0.3486238541918029,0.1744169364101263,-0.2313334852293848,0.7149777702229628,0,0,0,0,0,0,0,6
1160,-0.2147849074303953,0.5378396425863932,0.4863207889209821,-0.7490973630740015,0.3991291533325932,0,0,0,0,0,0,0,6
414,-1.00526482258579,0.0542881833557736,0.0704489855731743,-0.1893526302690104,0.3570160044138772,0,0,0,0,0,0,0,6
192,-0.1345912928494132,0.1383840893089248,0.1447118075995685,-0.2453271035495095,0.4833554511700251,0,0,0,0,0,0,0,6
721,1.1485065404462993,-0.0508316990856653,-0.1226343516954506,0.4123729574963549,-0.1483417826107143,0,1,1,1,1,1,1,0
767,1.5838433053144876,-1.0179346175469044,-0.7315894923118833,0.6502644689384761,0.5044120256293831,0,1,1,1,1,1,1,0
76,-1.4062328954907002,0.012240230379198,-0.1226343516954506,-0.0074355921073883,0.3149028554951613,0,0,0,0,0,0,0,6
717,0.4840451624895911,0.1594080657972126,0.1298592431942897,0.6782517055787257,-0.1904549315294302,0,1,1,1,1,1,0,1
280,-0.1689599848126913,0.4116957836566663,0.1001541143837319,-0.1473717753086361,0.7781474936010369,0,0,0,0,0,0,0,6
167,-1.429145356799552,0.1804320422855005,-0.3008651245587968,0.1744814460542337,0.4412423022513091,0,0,0,0,0,0,0,6
853,0.4840451624895911,-0.408239299386558,0.501173353326261,0.6082836139781018,-1.0116613354443915,0,0,0,0,0,0,0,6
619,1.6754931505498958,1.084463031281876,-0.2563074313429602,0.1884750643743585,1.3466750040037023,1,0,0,0,0,0,0,0
1071,0.2434643187466449,-0.7866708761757385,0.0704489855731743,0.0625324994932355,0.6728646213042471,0,0,0,0,0,0,0,6
552,0.5642387770705731,0.0963361363323492,-0.0186664008584987,-0.1053909203482618,0.3780725788732352,1,0,0,0,0,0,0,0
839,0.300745472018775,-0.303119416945119,1.0804233651321358,0.8321815071000982,-1.7696980159812787,0,0,0,0,0,0,0,6
1115,0.323657933327627,-1.270222335406358,-3.1971151835881715,-2.6102485996505966,0.2727897065764453,0,0,0,0,0,0,0,6
833,-0.3866283672467854,0.9793431488404368,1.5705579905063376,0.3563984842158558,-3.0120359090833992,0,0,0,0,0,0,0,6
79,-1.34895174221857,0.0963361363323492,0.0110387279520589,-0.1193845386683865,0.4201857277919512,0,0,0,0,0,0,0,6
1108,-0.0658539089228572,-3.372619984235138,-6.360711401912566,-5.772806339998796,1.6835801953534295,0,0,0,0,0,0,0,6
13,0.2090956267833668,-0.0087837461090897,-0.1523394805060083,0.0205516445328611,0.2938462810358033,0,0,0,0,0,0,0,6
1008,-0.5928405190264535,-3.393643960723426,-2.3505190124872777,-2.288395378287727,-2.0644900584122903,0,0,0,0,0,0,0,6
1032,0.335114163982053,-0.3872153228982702,-0.6276215414749314,0.0345452628529859,-0.443133825041726,0,0,0,0,0,0,0,6
782,1.1828752324095773,-0.4292632758748458,-0.568211283853816,0.2584431559749824,0.2938462810358033,0,1,1,1,1,1,1,0
327,0.335114163982053,0.2224799952620761,0.0407438567626166,-0.1333781569885113,0.5675817490074571,0,0,0,0,0,0,0,6
