,CIE DL,CIE Da,CIE Db,CIE DC,CIE DH
982,-1.3031268196008658,0.769103383957559,-0.1671920449112872,0.8881559803805974,-0.08517205923264035
458,0.2663767800554969,-0.28209544045683116,-0.5533587194485372,0.3703921025359806,-0.0220023358545664
907,-0.3064347526658034,1.4628946080710563,2.877583658170876,0.790200652139724,-4.822901312588185
249,-0.08876637023170927,0.1804320422855005,0.18926950081540506,-0.27331434018975914,0.546525174548099
962,-0.38662836724678545,0.8111513369341347,-0.21174973812712375,-0.4272441417111317,-0.7379258674727377
844,1.0568566952108913,0.6009115720512566,1.6299682481274531,0.594289995657977,-2.885696462327252
843,0.2549205494010709,0.5588636190746809,1.7933464565855202,0.6922453238988504,-3.0752056324614734
452,-0.5011906737910454,-0.02980772259737754,-0.12263435169545064,-0.02142921042751314,0.25173313211708737
322,-0.6042967496808795,0.15940806579721267,0.1298592431942897,-0.23133348522938485,0.4833554511700251
529,0.2549205494010709,-0.17697555801539216,-0.28601256015351795,0.1325005910938594,0.10433711090158149
877,-0.00857275565072722,0.6850074780044078,2.1943656955280493,0.846175125420223,-3.622676568404781
107,-1.0281772838946417,0.32759987770351506,-0.1374869161007295,0.04853888117311075,0.609694897926173
1088,0.8277320821223714,-1.270222335406358,-0.1374869161007295,-0.3292888134702582,0.6728646213042471
124,-2.1394316573739642,-0.008783746109089718,0.040743856762616645,-0.17535901194888567,0.3149028554951613
800,1.4807372294246535,0.3486238541918029,0.011038727952058966,0.6782517055787257,-0.2746812293668622
629,1.2974375389538375,-0.15595158152710437,0.3823528380840301,-0.4972122333117555,0.1885634087390134
827,0.28928924136434897,-0.02980772259737754,1.065570800726857,0.6642580872586009,-1.8960374627374266
934,-0.9250712080048077,1.7151823259305101,-0.5979164126643738,-1.1409186760374954,-0.6958127185540217
304,-0.3522596752835074,0.32759987770351506,0.2486797584365205,-0.3013015768300087,0.7360343446823208
1123,3.806352052273133,4.742634940243954,6.486756808653635,7.059341659555623,-3.3910542493518436
159,-1.0510897452034937,0.13838408930892487,0.08530154997845323,-0.18935263026901047,0.4622988767106671
742,1.0110317725931874,-0.513359181827997,-0.1671920449112872,0.35639848421585585,0.0832805364422235
549,1.0568566952108913,-0.17697555801539216,0.5457310465420974,-0.6651356531532528,0.1885634087390134
743,0.9079256967033532,-0.5974550877811483,-0.3899805109904699,0.27243677429510715,0.20961998319837136
112,-1.257301896983162,0.24350397175036392,-0.03351896526377757,-0.06341006538788746,0.5675817490074571
1062,1.3776311535348196,0.49579168960981757,-0.7018843635013255,0.594289995657977,-0.7589824419320957
963,-0.6730341336074356,-5.138634009251314,1.5111477328852223,3.8128222092866753,-0.0220023358545664
734,2.145198607381362,0.30657590121522726,0.4863207889209821,1.0280921635818452,-0.16939835707007225
951,-1.6582699698880723,-0.008783746109089718,0.025891292357337784,0.16048782773410897,-0.61158642071659
519,-1.6468137392336462,0.30657590121522726,0.4863207889209821,-0.5112058516318803,0.7781474936010369
268,-0.26060983004809934,0.5378396425863932,-0.15233948050600835,0.10451335445360986,0.8202606425197528
60,-0.8334213627693998,0.24350397175036392,-0.01866640085849875,-0.07740368370801226,0.5675817490074571
81,-1.3947766648362738,0.2645279482386517,-0.03351896526377757,-0.06341006538788746,0.5675817490074571
57,-1.2229332050198838,0.32759987770351506,-0.0038138364532198923,-0.07740368370801226,0.651808046844889
255,0.07162085893025483,-0.02980772259737754,0.10015411438373199,-0.21733986690926005,0.2938462810358033
1028,1.3088937696082634,-0.21902351099196776,-1.5187754057916623,-0.06341006538788746,-1.685471718143847
219,-0.8334213627693998,0.2224799952620761,-0.06322409407433528,-0.04941644706776268,0.546525174548099
61,-1.3833204341818481,0.15940806579721267,-0.28601256015351795,0.1464942094139842,0.4201857277919512
380,-0.43245328986448944,0.41169578365666637,-0.2711599957482391,0.17448144605423374,0.6728646213042471
896,-0.44390952051891547,1.1895829137233151,1.7190836345591258,0.3144176292554815,-3.3068279515144114
39,0.19763939612894094,-0.2400474874802556,-0.31571768896407565,0.1464942094139842,0.020110813064149555
817,-0.4782782124821935,0.1173601128206371,1.4071797820482703,0.7482197971793496,-2.3803386753026605
1166,-1.6124450472703682,0.769103383957559,-0.37512794658519105,0.8601687437403478,-0.21151150598878823
685,-0.8334213627693998,-0.3241433934334068,1.2140964447796456,-1.2948484775588678,0.10433711090158149
807,1.1026816178285954,-1.2281743824297824,-0.9246728295805083,0.8601687437403478,0.6307514723855311
998,0.7475384675413892,0.30657590121522726,-0.9692305227963449,0.3983793391762302,-1.0748310588224654
390,-1.211476974365458,0.2855519247269396,-0.09292922288489296,0.00655802621273642,0.5886383234668151
852,0.08307708958468085,0.07531215984406145,-0.8801151363646718,-0.3013015768300087,0.4622988767106671
462,-0.1575037541582653,-0.21902351099196776,-0.4493907686115852,0.27243677429510715,0.04116738752350754
495,-0.9594398999680857,-0.15595158152710437,-0.40483307539574875,0.2444495376548576,0.10433711090158149
1176,-2.047781812138556,0.9372951958638613,0.501173353326261,1.0700730185422194,0.9676566637352586
1017,0.8391883127767974,5.142090493521422,0.501173353326261,3.8687966825671745,-0.2746812293668622
609,0.3694828559453309,-0.17697555801539216,0.6348464329737705,-0.7351037447538767,0.1885634087390134
