userId,itemId,rating
90,186,1.0
90,252,1.0
90,370,1.0
90,466,3.0
90,628,3.5
90,852,2.0
90,1258,3.5
90,1407,1.5
90,1653,3.5
90,1917,2.5
90,2174,3.0
90,2291,1.0
90,2395,2.0
90,2599,3.0
90,2640,2.5
90,2797,3.0
90,3996,1.5
107,7,2.0
107,34,4.0
107,39,4.0
107,45,5.0
107,52,5.0
107,72,4.0
107,125,5.0
107,176,2.0
107,339,3.0
107,342,4.0
107,357,4.0
107,417,3.0
107,440,2.0
107,497,5.0
107,539,3.0
107,562,5.0
107,582,4.0
107,708,4.0
107,728,4.0
107,807,5.0
107,838,4.0
107,1057,4.0
107,1171,3.0
107,1174,5.0
107,1180,4.0
107,1184,4.0
107,1188,4.0
107,1243,4.0
107,1265,5.0
107,1353,2.0
107,1446,5.0
107,1468,1.0
107,1500,5.0
107,1513,4.0
107,1517,5.0
107,1537,4.0
107,1542,3.0
107,1569,3.0
107,1580,5.0
107,1592,2.0
107,1641,4.0
107,1665,5.0
107,1703,1.0
107,1734,5.0
107,1747,2.0
107,1777,4.0
107,1784,2.0
107,1794,4.0
107,1885,4.0
107,1888,2.0
107,1904,3.0
107,1906,5.0
107,1914,5.0
107,1916,4.0
107,1918,1.0
107,1923,3.0
107,2029,4.0
107,2108,2.0
107,2155,5.0
107,2171,5.0
107,2289,4.0
107,2318,5.0
107,2324,4.0
107,2335,1.0
107,2356,2.0
107,2359,4.0
107,2395,5.0
107,2396,4.0
107,2424,3.0
107,2575,5.0
107,2599,5.0
107,2671,3.0
107,2690,4.0
107,2696,4.0
107,2697,5.0
107,2700,1.0
107,2706,1.0
107,2708,5.0
107,2710,3.0
107,2712,3.0
107,2759,4.0
107,2833,4.0
107,2836,1.0
107,2858,5.0
107,2861,1.0
107,2884,2.0
107,2959,2.0
134,17,5.0
134,99,3.0
134,246,5.0
134,296,5.0
134,428,4.0
134,608,4.0
134,1097,4.0
134,1196,4.0
134,1198,5.0
134,1224,4.0
134,1225,5.0
134,1265,4.0
134,1270,4.0
134,1354,5.0
134,1610,3.0
134,1617,4.0
134,1885,3.0
134,1912,3.0
134,2396,4.0
134,2529,5.0
134,2677,3.0
134,2804,4.0
134,2858,4.0
134,2973,4.0
134,2997,3.0
134,3072,5.0
134,3108,4.0
134,3386,3.0
134,4361,5.0
134,4465,3.0
134,4700,1.0
167,50,5.0
167,147,2.5
167,175,5.0
167,207,3.5
167,296,4.5
167,531,4.5
167,1687,4.0
167,1892,2.0
167,1894,3.0
167,2096,4.0
167,2124,2.0
167,2485,0.5
167,2724,0.5
167,3083,2.5
167,3267,3.0
167,3676,4.5
167,4161,2.0
167,6385,3.0
167,84772,3.0
196,1,3.0
196,3,5.0
196,5,4.0
196,12,1.0
196,32,4.0
196,36,4.0
196,61,5.0
196,62,5.0
196,74,3.0
196,135,5.0
196,141,3.0
196,376,4.0
196,608,4.0
196,628,5.0
196,640,3.0
196,648,3.0
196,694,4.0
196,708,3.0
196,719,3.0
196,724,3.0
196,733,3.0
196,736,3.0
196,743,4.0
196,765,5.0
196,780,2.0
196,891,2.0
196,999,1.0
196,1003,5.0
196,1006,5.0
196,1073,5.0
347,163,5.0
347,370,1.0
347,3386,5.0
603,1,4.0
603,6,4.0
603,7,4.0
603,25,3.0
603,36,4.0
603,52,5.0
603,62,3.0
603,100,4.0
603,141,4.0
603,260,3.0
603,608,3.0
603,708,3.0
603,736,3.0
603,745,4.0
603,778,4.0
603,780,3.0
603,788,3.0
603,818,3.0
603,1041,5.0
603,1061,3.0
603,1183,4.0
603,1210,3.0
676,318,3.0
676,631,1.5
676,711,4.5
676,1015,3.5
676,1025,5.0
676,1198,4.5
676,1920,1.5
676,2083,5.0
676,2090,3.0
676,2141,3.0
676,2142,2.5
676,2398,5.0
676,3844,1.5
676,3968,3.0
676,3991,5.0
676,4321,4.0
676,6662,4.0
680,7,5.0
680,158,3.0
680,186,2.0
680,315,3.0
680,342,2.5
680,370,4.0
680,543,3.0
680,832,4.0
680,1094,1.0
680,1246,4.0
680,1380,4.0
680,2001,3.0
680,2012,5.0
680,2699,0.5
680,3623,3.0
680,3751,4.0
680,3897,2.5
890,1,3.0
890,10,4.0
890,32,5.0
890,47,5.0
890,50,5.0
890,150,4.0
890,153,4.0
890,161,4.0
890,165,4.0
890,185,2.0
890,208,3.0
890,231,4.0
890,296,5.0
890,316,4.0
890,318,5.0
890,329,3.0
890,339,3.0
890,344,3.0
890,349,2.0
890,380,5.0
890,434,3.0
890,588,4.0
890,592,4.0
890,733,4.0
1234,50,3.5
1234,260,5.0
1234,318,4.0
1234,413,3.5
1234,480,4.5
1234,527,4.5
1234,750,4.0
1234,799,2.0
1234,858,2.5
1234,904,2.0
1234,1042,4.0
1234,1047,3.5
1234,1077,4.0
1234,1178,4.0
1234,1193,4.5
1234,1198,5.0
1234,1203,4.0
1234,1221,2.5
1234,1260,2.5
1234,1405,3.5
1234,1438,2.0
1234,1918,2.5
1234,2019,4.0
1234,2115,5.0
1234,2150,4.0
1234,2248,3.5
1234,2431,3.0
1234,2539,2.5
1234,2571,4.5
1234,2581,3.5
1234,2722,2.0
1234,2959,4.5
1234,3703,3.5
1234,4973,4.0
1234,5618,4.0
1234,6016,4.0
1234,38061,4.5
1234,44555,5.0
1234,49272,4.0
1234,58559,5.0
1234,59315,4.0
1234,64839,4.0
1234,81591,4.0
1234,81845,4.0
1234,82459,4.5
1234,89492,4.0
1234,91529,4.5
1234,97304,4.0
1234,99114,4.5
1234,112556,4.5
1300,135,2.0
1300,315,1.0
1300,805,3.0
1300,1092,2.0
