indice,CIE DL,CIE Da,CIE Db,CIE DC,CIE DH,y,KNeighbors,RedesNeuronales,SVC,GaussianNB,RandomF,XGBoost
1099,-0.3430019840129819,-0.6697220409468935,2.29250561549114,-2.0611269623930752,-1.6957588163210553,0,0,0,0,0,0,0
4103,-1.9643479425605035,-0.4526531882473665,-0.0686866360132103,0.0814288397836746,0.3516211469284897,0,0,0,0,0,0,0
386,-1.3247936618307383,0.055595247798949,0.0791108360382769,-0.1989971080139851,0.407667676603565,0,0,0,0,0,0,0
2055,-0.4879563740854057,0.9984448231096056,-0.300459511666423,-0.5732765531974442,-0.7032963224763029,0,0,0,0,0,0,0
818,1.0661578359136803,1.3197196653274177,0.2550097589087031,-0.5024553065053924,-1.5708027870384045,0,0,0,0,0,0,0
4199,-1.8079238765704724,0.3057377461126249,0.4314458032466582,0.6500458623659746,0.9606731334439738,0,0,0,0,0,0,0
42,0.4539818485684911,0.0141485455849008,-0.5072189068631436,0.3389515165844187,0.2618856424404726,0,0,0,0,0,0,0
2513,-0.0215022035576657,0.8443470750355148,-0.1545266530936437,0.942900175939249,-0.0851341457950303,1,1,1,1,0,1,1
302,-0.1466436484494305,0.1384886522270453,0.0791108360382769,-0.1852035535371029,0.4701456912448904,0,0,0,0,0,0,0
1012,0.7427441067501842,3.1226512116385114,0.9732636939629432,2.670062223177502,0.8658397839732843,1,1,1,1,0,1,1
4279,-1.7286892900479096,-0.0321982928066707,-0.2701639919576293,0.3411778070749039,0.0280984761226564,0,0,0,0,0,0,0
3355,0.2416143323065404,-0.9821470416944784,-3.481550384943965,-2.832350259035353,-0.0617087005251109,0,0,0,0,0,0,0
3109,0.2308948515632378,-0.9693254467183172,-3.3727212320651536,-2.729940932742028,-0.0552661469494472,0,0,0,0,0,0,0
2519,0.1348038589689295,-3.4919365650326606,-3.764119416883919,-2.655153410740572,-4.0271421671420615,1,1,1,1,0,1,1
1169,1.2351104747692268,-0.3617018725567466,0.345232284842647,-0.4770071740829948,-0.0272196952272225,0,0,0,0,0,0,0
1013,1.8977931394769565,3.6407349893141134,-0.2873452532751109,2.711442886608148,-0.9460226406251512,1,1,1,1,1,1,1
2466,0.2265037289211625,-0.6320448064785373,-1.8887282054055132,-0.408409399629433,-2.105049799207443,1,1,1,1,0,1,1
3416,0.2763175187797895,-1.1019153988501489,-3.4483618474014817,-2.817862748171418,0.0719202956212788,0,0,0,0,0,0,0
1698,1.5867569342562244,-0.169225302414869,0.0915506727304659,0.5681669538043002,-0.0520803546579998,0,0,0,0,0,0,0
1450,1.0592351066356744,-0.3482738070540604,1.4768483284496514,-1.541869240753312,0.1267540729301188,0,0,0,0,0,0,0
2681,0.7126751834643154,-1.183275681783551,0.6881713686960605,0.0974809887203941,1.6649872642937087,0,0,0,0,0,0,0
4052,-1.761203812748232,0.3731964152471556,-0.3149035841166193,0.5978767990439828,-0.0803762245040959,0,0,0,0,0,0,0
1753,1.609382849600664,-0.3375169381144232,-0.6333364119356323,0.3059002567467913,-0.3982003817181905,0,0,0,0,0,0,0
892,-0.0542397258312888,-1.4157626807997603,-1.093548649764564,0.4906806158301223,1.4489679206256545,0,0,0,0,0,0,0
1208,0.9256315887726532,-0.2264754086219668,0.2775406875176157,-0.4133087008853304,0.1033737694078306,0,0,0,0,0,0,0
2159,0.4862007953510671,-0.1609903807316051,0.1745573329161092,0.32007914287765,-0.7219490901238442,0,0,0,0,0,0,0
